Datetime,Episode,Validation_Score
2023-10-07 16:58:08,1650,2955
2023-10-07 16:58:17,1660,2955
2023-10-07 16:58:25,1670,2955
2023-10-07 16:58:34,1680,2955
2023-10-07 16:58:43,1690,2955
2023-10-07 16:58:52,1700,2955
2023-10-07 16:59:00,1710,2955
2023-10-07 16:59:09,1720,2955
2023-10-07 16:59:18,1730,2955
2023-10-07 16:59:27,1740,2955
2023-10-07 16:59:35,1750,2955
2023-10-07 16:59:44,1760,2955
2023-10-07 16:59:53,1770,2955
2023-10-07 17:00:01,1780,2955
2023-10-07 17:00:10,1790,2955
2023-10-07 17:00:19,1800,2955
2023-10-07 17:00:27,1810,2955
2023-10-07 17:00:36,1820,2955
2023-10-07 17:00:45,1830,2955
2023-10-07 17:00:54,1840,2955
2023-10-07 17:01:03,1850,2955
2023-10-07 17:01:12,1860,2955
2023-10-07 17:01:20,1870,2955
2023-10-07 17:01:29,1880,2955
2023-10-07 17:01:38,1890,2955
2023-10-07 17:01:47,1900,2955
2023-10-07 17:01:56,1910,2955
2023-10-07 17:02:04,1920,2955
2023-10-07 17:02:13,1930,2955
2023-10-07 17:02:22,1940,2955
2023-10-07 17:02:31,1950,2955
2023-10-07 17:02:40,1960,2955
2023-10-07 17:02:48,1970,2955
2023-10-07 17:02:59,1980,2955
2023-10-07 17:03:08,1990,2955
2023-10-07 17:03:17,2000,2955
2023-10-07 17:03:26,2010,2955
2023-10-07 17:03:34,2020,2955
2023-10-07 17:03:43,2030,2955
2023-10-07 17:03:52,2040,2955
2023-10-07 17:04:01,2050,2955
2023-10-07 17:04:09,2060,2955
2023-10-07 17:04:18,2070,2955
2023-10-07 17:04:27,2080,2955
2023-10-07 17:04:36,2090,2955
2023-10-07 17:04:44,2100,2955
2023-10-07 17:04:53,2110,2955
2023-10-07 17:05:01,2120,2955
2023-10-07 17:05:10,2130,2955
2023-10-07 17:05:18,2140,2955
2023-10-07 17:05:27,2150,2955
2023-10-07 17:05:36,2160,2955
2023-10-07 17:05:45,2170,2955
2023-10-07 17:05:54,2180,2955
2023-10-07 17:06:03,2190,2955
2023-10-07 17:06:12,2200,2955
2023-10-07 17:06:20,2210,2955
2023-10-07 17:06:29,2220,2955
2023-10-07 17:06:37,2230,2955
2023-10-07 17:06:46,2240,2955
2023-10-07 17:06:55,2250,2951
2023-10-07 17:07:03,2260,2949
2023-10-07 17:07:12,2270,2949
2023-10-07 17:07:21,2280,2949
2023-10-07 17:07:29,2290,2949
2023-10-07 17:07:38,2300,2949
2023-10-07 17:07:46,2310,2949
2023-10-07 17:07:55,2320,2935
2023-10-07 17:08:03,2330,2949
2023-10-07 17:08:12,2340,2949
2023-10-07 17:08:21,2350,2947
2023-10-07 17:08:29,2360,2947
2023-10-07 17:08:38,2370,2947
2023-10-07 17:08:47,2380,2951
2023-10-07 17:08:56,2390,2951
2023-10-07 17:09:05,2400,2951
2023-10-07 17:09:13,2410,2951
2023-10-07 17:09:22,2420,2951
2023-10-07 17:09:31,2430,2951
2023-10-07 17:09:40,2440,2951
2023-10-07 17:09:49,2450,2955
2023-10-07 17:09:58,2460,2955
2023-10-07 17:10:06,2470,2953
2023-10-07 17:10:15,2480,2953
2023-10-07 17:10:24,2490,2953
2023-10-07 17:10:33,2500,2953
2023-10-07 17:10:42,2510,2953
2023-10-07 17:10:50,2520,2955
2023-10-07 17:10:59,2530,2955
2023-10-07 17:11:08,2540,2955
2023-10-07 17:11:17,2550,2955
2023-10-07 17:11:26,2560,2953
2023-10-07 17:11:35,2570,2953
2023-10-07 17:11:43,2580,2955
2023-10-07 17:11:52,2590,2955
2023-10-07 17:12:01,2600,2955
2023-10-07 17:12:10,2610,2951
2023-10-07 17:12:19,2620,2937
2023-10-07 17:12:28,2630,2955
2023-10-07 17:12:36,2640,2951
2023-10-07 17:12:45,2650,2955
2023-10-07 17:12:54,2660,2955
2023-10-07 17:13:03,2670,2955
2023-10-07 17:13:11,2680,2955
2023-10-07 17:13:20,2690,2955
2023-10-07 17:13:29,2700,2955
2023-10-07 17:13:37,2710,2955
2023-10-07 17:13:46,2720,2921
2023-10-07 17:13:54,2730,2937
2023-10-07 17:14:03,2740,2951
2023-10-07 17:14:12,2750,2951
2023-10-07 17:14:20,2760,2951
2023-10-07 17:14:29,2770,2951
2023-10-07 17:14:38,2780,2955
2023-10-07 17:14:46,2790,2955
2023-10-07 17:14:55,2800,2951
2023-10-07 17:15:03,2810,2955
2023-10-07 17:15:12,2820,2955
2023-10-07 17:15:20,2830,2955
2023-10-07 17:15:29,2840,2955
2023-10-07 17:15:38,2850,2951
2023-10-07 17:15:47,2860,2951
2023-10-07 17:15:55,2870,2951
2023-10-07 17:16:04,2880,2955
2023-10-07 17:16:13,2890,2955
2023-10-07 17:16:22,2900,2951
2023-10-07 17:16:31,2910,2955
2023-10-07 17:16:40,2920,2955
2023-10-07 17:16:49,2930,2955
2023-10-07 17:16:57,2940,2955
2023-10-07 17:17:06,2950,2955
2023-10-07 17:17:15,2960,2955
2023-10-07 17:17:24,2970,2955
2023-10-07 17:17:32,2980,2955
2023-10-07 17:17:41,2990,2955
2023-10-07 17:17:50,3000,2955
2023-10-07 17:17:59,3010,2955
2023-10-07 17:18:08,3020,2955
2023-10-07 17:18:16,3030,2955
2023-10-07 17:18:25,3040,2955
2023-10-07 17:18:34,3050,2955
2023-10-07 17:18:43,3060,2955
2023-10-07 17:18:52,3070,2955
2023-10-07 17:19:01,3080,2955
2023-10-07 17:19:09,3090,2955
2023-10-07 17:19:18,3100,2955
2023-10-07 17:19:27,3110,2955
2023-10-07 17:19:35,3120,2955
2023-10-07 17:19:44,3130,2955
2023-10-07 17:19:53,3140,2953
2023-10-07 17:20:01,3150,2953
2023-10-07 17:20:10,3160,2955
2023-10-07 17:20:19,3170,2955
2023-10-07 17:20:27,3180,2955
2023-10-07 17:20:36,3190,2955
2023-10-07 17:20:45,3200,2955
2023-10-07 17:20:53,3210,2953
2023-10-07 17:21:02,3220,2955
2023-10-07 17:21:11,3230,2955
2023-10-07 17:21:19,3240,2955
